StudentID,SpendHours,CountryLive,Gender,AgeRange,EducationLevel,InitialExpectID,InitialExpectValue,EndExpectID,EndExpectValue
389ee6f5f3c9e90aa2f53423548e1a4e9f124d72,9 horas o mas,es - Espana,Femenino,25-34,Educacion secundaria,3,Buena,5,Excelente
3f4d3790df75ba03bc02b12ef22600f9b4739a6b,1 a 2 horas,co - Colombia,Femenino,55-64,Posgrado,2,Regular,4,Muy buena
f5ae302780b675a8b01aa4afdf7b779076465c27,5 a 6 horas,co - Colombia,Femenino,25-34,Carrera profesional,3,Buena,5,Excelente
63cea99190efdabb562987e75ef86c49a30f46ea,7 a 8 horas,co - Colombia,Femenino,25-34,Posgrado,3,Buena,5,Excelente
59bada53ceea5fd30cc6b165ff3067cc6fee2131,3 a 4 horass,mx - Mexico,Femenino,25-34,Carrera profesional,1,Poca,2,Regular
a1212044e1eb44ea8a723fb118dfc195351e6605,5 a 6 horas,ec - Ecuador,Masculino,25-34,Carrera tecnica,3,Buena,5,Excelente
a1212044e1eb44ea8a723fb118dfc195351e6605,5 a 6 horas,ec - Ecuador,Masculino,25-34,Carrera tecnica,3,Buena,5,Excelente
5f1443204dae553bb36cc5027bf4d472fb48cbeb,1 a 2 horas,pt - Portugal,Femenino,25-34,Maestria,3,Buena,5,Excelente
71c5f78fd677ec58d906266bddaea5e4eb2714af,1 a 2 horas,co - Colombia,Femenino,35-44,Carrera profesional,2,Regular,5,Excelente
9b9d8e3169693a447f97b2061ca3023a49ac7a2d,3 a 4 horass,mx - Mexico,Femenino,25-34,Carrera profesional,3,Buena,5,Excelente
407dffb1d9fbf7c1b8d84ae62efde8f608041618,1 a 2 horas,co - Colombia,Femenino,25-34,Carrera profesional,4,Muy buena,4,Muy buena
fd70e5b5eb738e58a0b9c34ec66fb9154265c793,3 a 4 horass,co - Colombia,Femenino,25-34,Carrera tecnica,3,Buena,5,Excelente
dcdf1d95075891d79c041617fdbae7956c672f9c,3 a 4 horass,mx - Mexico,Masculino,25-34,Carrera profesional,3,Buena,5,Excelente
20a58ff88e54b7614c2d95fb165ed69c3c36056d,5 a 6 horas,mx - Mexico,Femenino,35-44,Carrera profesional,2,Regular,4,Muy buena
3cc3394989a2e164c9b2fc43813d07b834dcd995,1 a 2 horas,co - Colombia,Femenino,25-34,Carrera profesional,3,Buena,5,Excelente
a8156cfafdf6b27a8064fc537b2d9326895ce6fd,3 a 4 horass,co - Colombia,Femenino,18-24,Carrera profesional,4,Muy buena,5,Excelente
23835dafb3655bd709c103f17decd394b228480f,5 a 6 horas,gt - Guatemala,Femenino,45-54,Maestria,2,Regular,5,Excelente
457429d9be087eb8bb0ee0aa765d7ec397d7c373,1 a 2 horas,ve - Venezuela,Femenino,45-54,Carrera profesional,1,Poca,4,Muy buena
243793fd61a04e033a721a7392a521768bb10597,1 a 2 horas,co - Colombia,Femenino,18-24,Carrera profesional,4,Muy buena,5,Excelente
86e1a6095f8e1d74ac27aeede15bbd2fba71f6c9,3 a 4 horass,co - Colombia,Femenino,45-54,Licenciatura en docencia,1,Poca,5,Excelente
66e4133e7034cd413214075b1175b4d32ef24636,5 a 6 horas,gt - Guatemala,Masculino,25-34,Educacion secundaria,3,Buena,5,Excelente
799f376082165e1e722df0abf9cb1989c8dbc3a2,3 a 4 horass,co - Colombia,Femenino,18-24,Carrera profesional,3,Buena,5,Excelente
657f53f04d721dd84b3096ed0ced528c647e3e36,3 a 4 horass,mx - Mexico,Femenino,35-44,Maestria,2,Regular,4,Muy buena
86e1a6095f8e1d74ac27aeede15bbd2fba71f6c9,3 a 4 horass,co - Colombia,Femenino,45-54,Licenciatura en docencia,1,Poca,5,Excelente
638e076114083c5db304b24699e4fe7bc4ff4c66,1 a 2 horas,ni - Nicaragua,Femenino,18-24,Carrera profesional,3,Buena,5,Excelente
c96b6784a8d3ccbeed2ed502f6e1e21286e296ca,1 a 2 horas,mx - Mexico,Masculino,35-44,Carrera profesional,4,Muy buena,5,Excelente
b1f285b4786bf22a6108a9d2b11c474836087af9,3 a 4 horass,co - Colombia,Femenino,18-24,Educacion secundaria,2,Regular,4,Muy buena
3229d3a169ad4656a138e69a58c6b00fb12ac891,7 a 8 horas,co - Colombia,Masculino,65 anos o mas,Carrera profesional,2,Regular,4,Muy buena
3d1d1a9f9409627b6445202b791cfe66533ce43d,3 a 4 horass,co - Colombia,Femenino,35-44,Carrera profesional,3,Buena,4,Muy buena
32a8bd36b695b9b004faec22fd4b2827b9df12e0,1 a 2 horas,co - Colombia,Femenino,18-24,Licenciatura en docencia,1,Poca,4,Muy buena
a307dc56d803d455360299fc5a9d465c3fdb6e86,1 a 2 horas,ar - Argentina,Femenino,25-34,Licenciatura en docencia,2,Regular,4,Muy buena
a72e460225b3779d48c3e99c3d45a90512cb5365,5 a 6 horas,co - Colombia,Femenino,25-34,Maestria,2,Regular,4,Muy buena
1d55f0d1aa68ade7cd79d96e345eb5bd651cc17d,3 a 4 horass,gt - Guatemala,Femenino,35-44,Carrera profesional,1,Poca,4,Muy buena
a15cd90950eba35ea09527564c0852654bb898b8,9 horas o mas,co - Colombia,Femenino,18-24,Carrera tecnica,2,Regular,5,Excelente
cdf963397b13e37bb78dd0f1403b77e0b7a34824,3 a 4 horass,bo - Bolivia,Femenino,35-44,Maestria,2,Regular,3,Buena
b51971f6331aa08416457c6ccf7746976c328336,3 a 4 horass,co - Colombia,Femenino,25-34,Posgrado,2,Regular,5,Excelente
8a6b4b390eb782227132ac63db4fae5f2ca18fe8,5 a 6 horas,co - Colombia,Femenino,45-54,Carrera profesional,2,Regular,5,Excelente
23e476cc1b7603e3d65ddaca4abc33953168ab61,1 a 2 horas,co - Colombia,Masculino,55-64,Carrera profesional,3,Buena,4,Muy buena
b848f3033ef9cfe66c07adeb130868d1c11a3e27,1 a 2 horas,co - Colombia,Femenino,45-54,Carrera tecnica,4,Muy buena,4,Muy buena
db608f5eaa220c408690ed7f2ae051a1f932d062,3 a 4 horass,mx - Mexico,Femenino,45-54,Carrera profesional,3,Buena,5,Excelente
7e06f07897038ff1527cbe0a487f09292d63d366,5 a 6 horas,co - Colombia,Femenino,18-24,Carrera profesional,3,Buena,5,Excelente
cdbcedbb7a038d0c06944c2f84d893fdb7dd58e8,1 a 2 horas,co - Colombia,Femenino,25-34,Maestria,2,Regular,4,Muy buena
42137f0a1cc59b5628cf44a829b33cc0de4b5d92,5 a 6 horas,co - Colombia,Femenino,45-54,Posgrado,3,Buena,5,Excelente
f93dbbecbf22af042e3cf59526286e74d1d9e2a9,3 a 4 horass,mx - Mexico,Femenino,35-44,Maestria,2,Regular,4,Muy buena
d38f80627831ce3275a66cb1dabdfcae767741ba,5 a 6 horas,co - Colombia,Masculino,45-54,Carrera profesional,3,Buena,5,Excelente
7efc5c2c2dcf8531f0a8bb336709e1474ba7e87c,1 a 2 horas,cl - Chile,Femenino,35-44,Carrera profesional,2,Regular,5,Excelente
a9451a73ec580fa110f7ff9a252896c9fbe29cba,1 a 2 horas,mx - Mexico,Femenino,25-34,Maestria,4,Muy buena,5,Excelente
9471826533ac0f142cad0a3a6b8fbd908ea035fd,3 a 4 horass,co - Colombia,Femenino,18-24,Carrera profesional,2,Regular,4,Muy buena
d220224d49d3639c65e5af3efb0a403ec20c6a7e,1 a 2 horas,co - Colombia,Femenino,25-34,Licenciatura en docencia,3,Buena,5,Excelente
e60cc2a9667087da54c384b6786d0bf4f11abf6e,7 a 8 horas,mx - Mexico,Femenino,25-34,Maestria,3,Buena,5,Excelente
46fca9636345077a4015940dea01377524da32fe,9 horas o mas,,Femenino,25-34,Carrera profesional,3,Buena,5,Excelente
61cc7e23081f12a13054a1a0f6fc76538a3dfbec,3 a 4 horass,mx - Mexico,Femenino,18-24,Licenciatura en docencia,2,Regular,4,Muy buena
8161457f34d07deb332cd0d03488bdc6e6c6301e,3 a 4 horass,co - Colombia,Femenino,35-44,Carrera profesional,2,Regular,5,Excelente
542b7e8548c71f14cec1cd4eb2687abeaae1831c,3 a 4 horass,mx - Mexico,Femenino,35-44,Carrera profesional,2,Regular,5,Excelente
1405ffca712e8db23a7228622f08d0443f9600fd,3 a 4 horass,mx - Mexico,Masculino,18-24,Carrera profesional,2,Regular,4,Muy buena
13df19ccecbd20d510dff46b818ffda5fac3bff1,5 a 6 horas,us - Estados Unidos,Femenino,45-54,Doctorado,4,Muy buena,5,Excelente
0be4a1c0d4d0796eed5f83f434a7d3bf1977b6b3,1 a 2 horas,ar - Argentina,Femenino,25-34,Carrera profesional,2,Regular,4,Muy buena
dd97eabed3b5e96b133b12aad1ec1bec0602f6fa,1 a 2 horas,co - Colombia,Femenino,18-24,Carrera tecnica,3,Buena,3,Buena
d72edefafb52ce619d1f06d243d3c8357cd89a67,3 a 4 horass,mx - Mexico,Femenino,18-24,Carrera profesional,2,Regular,4,Muy buena
0680782b03813140d267bbd4f86d23d22f225de0,5 a 6 horas,co - Colombia,Femenino,35-44,Posgrado,2,Regular,4,Muy buena
0e793114e8b150562a3c85a108181efb0009c1f6,3 a 4 horass,co - Colombia,Femenino,45-54,Maestria,3,Buena,5,Excelente
4650338bb6bb729c42eeb6d71403363afcf509cd,3 a 4 horass,co - Colombia,Femenino,25-34,Maestria,4,Muy buena,5,Excelente
9d9e7bba654eabaa6b1c0caf8ccd31de7af24402,1 a 2 horas,co - Colombia,Femenino,45-54,Carrera profesional,2,Regular,4,Muy buena
0c365b02c73f5444bf48f00b18b9c8ec23a15444,5 a 6 horas,co - Colombia,Femenino,45-54,Licenciatura en docencia,3,Buena,5,Excelente
1d4e7552451e06acf4c29c8c77435a0c055b71f7,9 horas o mas,co - Colombia,Femenino,25-34,Carrera profesional,2,Regular,3,Buena
5499e67afc17c94afd1e7975118e4318ac7a8559,3 a 4 horass,co - Colombia,Femenino,25-34,Licenciatura en docencia,2,Regular,4,Muy buena
1d4e7552451e06acf4c29c8c77435a0c055b71f7,9 horas o mas,co - Colombia,Femenino,25-34,Carrera profesional,2,Regular,3,Buena
ad84e91a162956d9a2350dd87433dc2a7895aaac,9 horas o mas,mx - Mexico,Femenino,45-54,Carrera profesional,2,Regular,4,Muy buena
