path_to_item	Completed	Started
Bienvenida>Bienvenida y autoevaluación>Antes de comenzar	43621	32723
Bienvenida>Bienvenida y autoevaluación>Saludar y presentarse	40049	28302
Bienvenida>Bienvenida y autoevaluación>Bienvenida y autoevaluación	39824	49467
Bienvenida>Bienvenida y autoevaluación>Preguntas frecuentes sobre actividades y evaluaciones	35013	26736
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Objetivos módulo 2: "Sexualidad ¿Mucho más que sexo?"	36228	25048
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Sexo y sexualidad ¿En qué se diferencian?	33006	41469
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Barreras para conversar acerca de la sexualidad	30554	33981
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Conceptos básicos	31376	32912
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Para terminar...	29193	31842
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Sexualidad y categorización ¿Para qué sirven las categorías y sus definiciones?	28075	20773
La sexualidad ¿mucho más que sexo?>Sexo es lo que somos, no lo que hacemos>¿Qué es sexo?	24788	28893
La sexualidad ¿mucho más que sexo?>Sexo es lo que somos, no lo que hacemos>Procesos biológicos	23837	25734
La sexualidad ¿mucho más que sexo?>Sexo es lo que somos, no lo que hacemos>Para terminar...	21195	24871
La sexualidad ¿mucho más que sexo?>Sexo es lo que somos, no lo que hacemos>Concepto de sexo	24949	26603
La sexualidad ¿mucho más que sexo?>Como nos ven nos tratan>Para comenzar...	21220	24706
La sexualidad ¿mucho más que sexo?>Como nos ven nos tratan>¿Qué es el género?	20443	22191
La sexualidad ¿mucho más que sexo?>Como nos ven nos tratan>Para terminar...	19841	21210
La sexualidad ¿mucho más que sexo?>Como nos ven nos tratan>Concepto de género	22689	23938
La sexualidad ¿mucho más que sexo?>El sexo de otras personas también nos define>¿Qué es la orientación sexual?	19026	22221
