path_to_item	Completed	Started
Bienvenida>Bienvenida y autoevaluación>Antes de comenzar	59921	45532
Bienvenida>Bienvenida y autoevaluación>Saludar y presentarse	56891	40307
Bienvenida>Bienvenida y autoevaluación>Bienvenida y autoevaluación	84105	78061
Bienvenida>Bienvenida y autoevaluación>Preguntas frecuentes sobre actividades y evaluaciones	54979	40805
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Objetivos módulo 2: "Sexualidad ¿Mucho más que sexo?"	60078	33549
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Sexo y sexualidad ¿En qué se diferencian?	62119	72340
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Barreras para conversar acerca de la sexualidad	56886	43576
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Conceptos básicos	113841	155638
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Para terminar...	53986	37255
La sexualidad ¿mucho más que sexo?>Hablemos claro, aclaremos conceptos>Sexualidad y categorización ¿Para qué sirven las categorías y sus definiciones?	43643	29388
La sexualidad ¿mucho más que sexo?>Sexo es lo que somos, no lo que hacemos>¿Qué es sexo?	52564	41808
La sexualidad ¿mucho más que sexo?>Sexo es lo que somos, no lo que hacemos>Procesos biológicos	51014	32487
La sexualidad ¿mucho más que sexo?>Sexo es lo que somos, no lo que hacemos>Para terminar...	41693	43531
La sexualidad ¿mucho más que sexo?>Sexo es lo que somos, no lo que hacemos>Concepto de sexo	87184	206208
La sexualidad ¿mucho más que sexo?>Como nos ven nos tratan>Para comenzar...	36144	34149
La sexualidad ¿mucho más que sexo?>Como nos ven nos tratan>¿Qué es el género?	36533	27264
La sexualidad ¿mucho más que sexo?>Como nos ven nos tratan>Para terminar...	39061	25064
La sexualidad ¿mucho más que sexo?>Como nos ven nos tratan>Concepto de género	72398	232495
La sexualidad ¿mucho más que sexo?>El sexo de otras personas también nos define>¿Qué es la orientación sexual?	30052	30917
La sexualidad ¿mucho más que sexo?>El sexo de otras personas también nos define>Procesos psicológicos	27669	23545
La sexualidad ¿mucho más que sexo?>El sexo de otras personas también nos define>La orientación sexual, un asunto complejo	31887	22611
La sexualidad ¿mucho más que sexo?>El sexo de otras personas también nos define>Concepto de orientación sexual	62998	295467
La sexualidad ¿mucho más que sexo?>La sexualidad soy yo>Identidad y sexualidad	27856	29207
La sexualidad ¿mucho más que sexo?>La sexualidad soy yo>¿Qué es la sexualidad?	25001	21917
La sexualidad ¿mucho más que sexo?>La sexualidad soy yo>Sexualidad, un aspecto de la identidad	28073	21838
La sexualidad ¿mucho más que sexo?>La sexualidad soy yo>Preguntas frecuentes sobre conceptos básicos de la sexualidad	22775	15206
La sexualidad ¿mucho más que sexo?>La sexualidad soy yo>Concepto de sexualidad	100291	432517
La sexualidad ¿mucho más que sexo?>Cierre del módulo 2 : "Sexualidad ¿mucho más que sexo?">Actividad: ¿Qué aprendimos en el módulo 2?	27044	17273
Yo soy… lo que he vivido>Mi cuerpo habla: Identidad con el sexo>Objetivos módulo 3: "Yo soy...lo que he vivido"	25798	16581
Yo soy… lo que he vivido>Mi cuerpo habla: Identidad con el sexo>Para comenzar: "Yo soy... lo que he vivido"	32060	30131
Yo soy… lo que he vivido>Mi cuerpo habla: Identidad con el sexo>¿Qué es la identidad con el sexo?	27382	22681
Yo soy… lo que he vivido>Mi cuerpo habla: Identidad con el sexo>¿Cómo se desarrolla la identidad con el sexo?	28567	21280
Yo soy… lo que he vivido>Mi cuerpo habla: Identidad con el sexo>La identidad con el sexo y la valoración personal	22646	21803
Yo soy… lo que he vivido>Mi cuerpo habla: Identidad con el sexo>La identidad con el sexo y los agentes de socialización sexual	23527	20832
Yo soy… lo que he vivido>Mi cuerpo habla: Identidad con el sexo>Preguntas frecuentes sobre identidad con el sexo	21658	14467
Yo soy… lo que he vivido>Mi cuerpo habla: Identidad con el sexo>Identidad con el sexo	48850	181136
Yo soy… lo que he vivido>¡Esto es cuestión de género!: identidad con el género>¿Qué es la identidad con el género?	22842	26025
Yo soy… lo que he vivido>¡Esto es cuestión de género!: identidad con el género>Desarrollo de la identidad con el género	20536	19274
Yo soy… lo que he vivido>¡Esto es cuestión de género!: identidad con el género>Línea del tiempo del desarrollo de las cogniciones de  género en niñas y niños	18687	13519
Yo soy… lo que he vivido>¡Esto es cuestión de género!: identidad con el género>¡Esto es cuestión de género!	19573	19222
Yo soy… lo que he vivido>¡Esto es cuestión de género!: identidad con el género>Preguntas frecuentes sobre identidad con el género	18930	13429
Yo soy… lo que he vivido>¡Esto es cuestión de género!: identidad con el género>Evaluación: Identidad con el género	40371	304973
Yo soy… lo que he vivido>¿Dime el sexo de las personas que te atraen y te diré quién eres?: Identidad con la orientación sexual>¿Qué es la identidad con la orientación sexual?	20219	23164
Yo soy… lo que he vivido>¿Dime el sexo de las personas que te atraen y te diré quién eres?: Identidad con la orientación sexual>Desarrollo de la identidad con la orientación sexual	17716	17730
Yo soy… lo que he vivido>¿Dime el sexo de las personas que te atraen y te diré quién eres?: Identidad con la orientación sexual>Condiciones del ambiente que influyen en el desarrollo de la identidad con la orientación sexual	16661	16821
Yo soy… lo que he vivido>¿Dime el sexo de las personas que te atraen y te diré quién eres?: Identidad con la orientación sexual>Para terminar...	17809	15788
Yo soy… lo que he vivido>¿Dime el sexo de las personas que te atraen y te diré quién eres?: Identidad con la orientación sexual>Preguntas frecuentes sobre identidad con la orientación sexual	17661	12189
Yo soy… lo que he vivido>¿Dime el sexo de las personas que te atraen y te diré quién eres?: Identidad con la orientación sexual>Evaluación: Identidad con la orientación sexual	35377	220630
Yo soy… lo que he vivido>Cierre del módulo 3: "Yo soy... lo que he vivido">Actividad: ¿Qué aprendimos en el módulo 3?	20682	13453
Mis decisiones hablan de mi sexualidad>Decido mi futuro con base en mi sexualidad>Objetivo módulo 4: "Mis decisiones hablan de mi sexualidad"	20279	12755
Mis decisiones hablan de mi sexualidad>Decido mi futuro con base en mi sexualidad>Para comenzar: "Mis decisiones hablan de mi sexualidad"	21842	24918
Mis decisiones hablan de mi sexualidad>Decido mi futuro con base en mi sexualidad>¿Qué es un plan de vida?	19602	18902
Mis decisiones hablan de mi sexualidad>Decido mi futuro con base en mi sexualidad>Plan de vida y autonomía	19060	17761
Mis decisiones hablan de mi sexualidad>Decido mi futuro con base en mi sexualidad>Preguntas frecuentes sobre decisiones a futuro	18702	12432
Mis decisiones hablan de mi sexualidad>Decido mi futuro con base en mi sexualidad>Sexualidad y proyecto de vida	35527	220256
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>¿Qué son las relaciones afectivas?	21904	21393
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>La cercanía y la autonomía, un requisito para la autenticidad	18535	16448
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>Toma de decisiones autónomas en las relaciones afectivas	17184	15474
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>Decisiones en las relaciones afectivas	17117	16087
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>Patrones de interacción en las relaciones afectivas	15883	11899
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>Preguntas frecuentes sobre decisiones en las relaciones afectivas	16144	11515
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>Sexualidad y relaciones afectivas	32202	263846
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>¿Qué es la actividad sexual?	18076	19758
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Estándares sexuales y decisiones sexuales	17018	15903
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Análisis crítico de los estándares sexuales	16663	15192
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Preguntas frecuentes sobre actividad sexual	16097	11407
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Sexualidad y actividades sexuales	28958	189142
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Actividad: ¿Qué aprendimos en el módulo 4?	17406	12450
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Preguntas y respuestas con respecto al consentimiento frente a la actividad sexual	14530	11261
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>Objetivos módulo 5: "Me atrevo a conversar sobre sexualidad"	16114	11387
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>Para comenzar: "Me atrevo a conversar sobre sexualidad"	18145	18025
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>¿Qué significa ser feliz?	17983	16335
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>¿Qué es bienestar?	20434	16463
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>Relación entre sexualidad y bienestar	22590	16905
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>Sexualidad y bienestar	32410	447752
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Hablar acerca de la sexualidad	17559	18314
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Respondiendo a la curiosidad infantil	15006	14862
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Reglas de oro para abrir canales de comunicación sobre la sexualidad desde la  infancia	14460	14445
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Para terminar...	14805	13918
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Preguntas frecuentes sobre comportamientos sexuales infantiles	15121	11195
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Propicio oportunidades de bienestar	34484	179259
Me atrevo a conversar sobre sexualidad>Conclusión: Me siento capaz de conversar sobre sexualidad>Para terminar	15920	16012
Me atrevo a conversar sobre sexualidad>Conclusión: Me siento capaz de conversar sobre sexualidad>Actividad: ¿Qué aprendimos en el módulo 5?	14653	10501
Me atrevo a conversar sobre sexualidad>Conclusión: Me siento capaz de conversar sobre sexualidad>¿Tienes dudas acerca de la sexualidad que no resolvimos en el curso?	14084	9728
Me atrevo a conversar sobre sexualidad>Conclusión: Me siento capaz de conversar sobre sexualidad>Nuestras fuentes bibliográficas	13895	9848
